sim,final_equity,return_pct
415,12725.66443838202,27.256644383820205
416,13375.927751296513,33.75927751296513
417,22017.012321107217,120.17012321107217
418,13375.927751296516,33.75927751296516
419,14059.418592578588,40.59418592578587
420,12107.013315962617,21.070133159626167
421,14777.83484156339,47.7783484156339
422,19928.35684414644,99.28356844146441
423,16326.673309322941,63.26673309322941
424,19928.356844146423,99.28356844146423
425,18959.55082310907,89.59550823109072
426,12107.013315962611,21.07013315962611
427,17160.943042459396,71.60943042459395
428,12107.013315962617,21.070133159626167
429,13375.927751296522,33.75927751296522
430,14777.834841563388,47.77834841563388
431,16326.67330932294,63.2667330932294
432,20946.667471867542,109.46667471867542
433,19928.356844146445,99.28356844146445
434,13375.927751296522,33.75927751296522
435,17160.943042459385,71.60943042459384
436,15532.961136799886,55.32961136799885
437,13375.927751296522,33.75927751296522
438,17160.9430424594,71.609430424594
439,25567.527209397063,155.67527209397062
440,19928.356844146445,99.28356844146445
441,15532.961136799891,55.32961136799891
442,14777.834841563388,47.77834841563388
443,18037.842769743525,80.37842769743526
444,18037.842769743515,80.37842769743514
445,15532.96113679989,55.3296113679989
446,12725.664438382022,27.256644383820223
447,15532.961136799888,55.32961136799888
448,14777.834841563397,47.77834841563398
449,16326.673309322941,63.26673309322941
450,14777.834841563397,47.77834841563398
451,17160.943042459396,71.60943042459395
452,19928.356844146438,99.28356844146438
453,14059.418592578579,40.59418592578579
454,18037.842769743525,80.37842769743526
455,17160.9430424594,71.609430424594
456,13375.927751296515,33.75927751296515
457,19928.356844146434,99.28356844146434
458,18959.55082310907,89.59550823109072
459,16326.673309322952,63.26673309322952
460,18037.84276974353,80.3784276974353
461,18037.842769743518,80.37842769743519
462,19928.356844146423,99.28356844146423
463,19928.35684414642,99.2835684414642
464,13375.927751296515,33.75927751296515
465,17160.943042459407,71.60943042459407
466,16326.67330932295,63.2667330932295
467,17160.943042459403,71.60943042459404
468,18037.84276974354,80.3784276974354
469,19928.35684414644,99.28356844146441
470,14059.418592578586,40.59418592578586
471,20946.667471867542,109.46667471867542
472,16326.673309322945,63.266733093229455
473,12107.013315962613,21.07013315962613
474,19928.356844146445,99.28356844146445
475,18959.550823109064,89.59550823109065
476,19928.356844146427,99.28356844146427
477,17160.9430424594,71.609430424594
478,15532.961136799897,55.329611367998965
479,14059.418592578586,40.59418592578586
480,19928.356844146438,99.28356844146438
481,16326.67330932294,63.2667330932294
482,19928.35684414644,99.28356844146441
483,17160.943042459396,71.60943042459395
484,16326.673309322932,63.26673309322932
485,14777.834841563394,47.778348415633936
486,14059.418592578582,40.59418592578582
487,18037.842769743525,80.37842769743526
488,15532.961136799886,55.32961136799885
489,15532.961136799879,55.32961136799879
490,12725.664438382028,27.256644383820277
491,16326.673309322943,63.26673309322943
492,20946.667471867542,109.46667471867542
493,14777.834841563388,47.77834841563388
494,16326.673309322941,63.26673309322941
495,18037.84276974353,80.3784276974353
496,20946.66747186756,109.46667471867559
497,14777.83484156339,47.7783484156339
498,19928.35684414644,99.28356844146441
499,14777.834841563379,47.77834841563379
500,15532.961136799888,55.32961136799888
501,18037.842769743518,80.37842769743519
502,15532.961136799895,55.32961136799896
503,22017.01232110724,120.1701232110724
504,14059.418592578586,40.59418592578586
505,13375.927751296515,33.75927751296515
506,13375.92775129652,33.759277512965205
507,18959.55082310908,89.59550823109079
508,14777.834841563388,47.77834841563388
509,20946.66747186754,109.46667471867539
510,18959.55082310907,89.59550823109072
511,18959.55082310907,89.59550823109072
512,13375.927751296525,33.759277512965255
513,14777.834841563388,47.77834841563388
514,17160.9430424594,71.609430424594
515,14059.418592578582,40.59418592578582
516,11518.43757492105,15.184375749210503
517,14777.834841563395,47.77834841563396
518,18959.550823109075,89.59550823109075
519,13375.927751296515,33.75927751296515
520,18959.550823109064,89.59550823109065
521,20946.667471867542,109.46667471867542
